Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,3,217,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.35,0,0.35,0.35,0.35
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,4,4,1,5,0.64,0.15,0.8,0.64,0.8
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,9,910,10.1,1,0,1,0,0,2,1,0.1,0,0.1,0.1,0.1,0.7,0.7,0.5,1.2,0.07,0.05,0.12,0.07,0.12
Ross Barkley,eng ENG,MF,Chelsea,27,1993,6,1,179,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,1.2,1.2,0.7,1.9,0.6,0.33,0.94,0.6,0.94
Ashley Barnes,eng ENG,FW,Burnley,31,1989,23,8,808,9,1,0,0,1,1,4,0,0.11,0,0.11,0,0,1.8,1,1.6,2.6,0.2,0.18,0.38,0.11,0.29
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,32,24,2101,23.3,6,10,6,0,0,2,0,0.26,0.43,0.69,0.26,0.69,6.8,6.8,4,10.8,0.29,0.17,0.46,0.29,0.46
Lewis Bate,eng ENG,MF,Leeds United,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,11,9,835,9.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.04,0.05,0.01,0.05
Jan Bednarek,pl POL,DF,Southampton,25,1996,31,30,2629,29.2,4,0,4,0,0,10,0,0.14,0,0.14,0.14,0.14,2.4,2.4,0.6,3,0.08,0.02,0.1,0.08,0.1
Donny van de Beek,nl NED,MF,Everton,24,1997,7,5,483,5.4,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,0.9,0.9,0.1,1,0.17,0.01,0.18,0.17,0.18
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.2,0,1.2,1.2,1.2,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46
Asmir Begović,ba BIH,GK,Everton,34,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,32,26,2168,24.1,8,6,8,0,0,0,0,0.33,0.25,0.58,0.33,0.58,5,5,3.2,8.3,0.21,0.13,0.34,0.21,0.34
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,17,16,1361,15.1,0,4,0,0,0,5,0,0,0.26,0.26,0,0.26,0.9,0.9,2.3,3.2,0.06,0.15,0.21,0.06,0.21
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,25,11,1145,12.7,4,1,4,0,0,3,0,0.31,0.08,0.39,0.31,0.39,5.4,5.4,1.1,6.5,0.43,0.09,0.51,0.43,0.51
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1.7,1.7,0.3,2,0.14,0.03,0.16,0.14,0.16
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,25,4,565,6.3,3,1,3,0,0,1,0,0.48,0.16,0.64,0.48,0.64,3.1,3.1,0.7,3.7,0.49,0.11,0.59,0.49,0.59
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,4,4,337,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.08,0.08,0,0.08
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yves Bissouma,ml MLI,MF,Brighton,24,1996,26,25,2111,23.5,1,2,1,0,0,10,0,0.04,0.09,0.13,0.04,0.13,0.9,0.9,0.8,1.7,0.04,0.03,0.07,0.04,0.07
Willy Boly,ci CIV,DF,Wolves,30,1991,10,10,900,10,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,36,34,2983,33.1,12,10,12,0,0,6,0,0.36,0.3,0.66,0.36,0.66,11.2,11.2,5.4,16.6,0.34,0.16,0.5,0.34,0.5
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,6,4,388,4.3,1,0,1,0,0,0,1,0.23,0,0.23,0.23,0.23,0.4,0.4,0,0.4,0.1,0,0.1,0.1,0.1
Armando Broja,al ALB,FW,Southampton,19,2001,32,21,1975,21.9,6,0,6,0,0,2,0,0.27,0,0.27,0.27,0.27,7,7,1.3,8.4,0.32,0.06,0.38,0.32,0.38
Josh Brownhill,eng ENG,MF,Burnley,25,1995,35,32,2955,32.8,2,3,2,0,0,10,0,0.06,0.09,0.15,0.06,0.15,1.4,1.4,2.5,3.9,0.04,0.08,0.12,0.04,0.12
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,es ESP,FWMF,Tottenham,20,2001,9,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.03,0.07,0.1,0.03,0.1
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,35,22,1899,21.1,4,6,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47,3.1,3.1,5.5,8.6,0.15,0.26,0.41,0.15,0.41
Dan Burn,eng ENG,DF,Brighton,29,1992,13,12,1022,11.4,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,1.3,1.3,0,1.3,0.11,0,0.11,0.11,0.11
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,16,1440,16,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,8,765,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Byram,eng ENG,DF,Norwich City,27,1993,15,11,1027,11.4,0,0,0,0,0,3,0,0,0,0,0,0,0.9,0.9,0.2,1.1,0.08,0.02,0.1,0.08,0.1
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,8,8,660,7.3,1,1,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,0.8,0.8,0.4,1.1,0.1,0.05,0.16,0.1,0.16
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,17,15,1283,14.3,5,2,3,2,3,2,0,0.35,0.14,0.49,0.21,0.35,6.8,4.6,1.8,6.4,0.48,0.13,0.61,0.32,0.45
Chem Campbell,wls WAL,MF,Wolves,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Cancelo,pt POR,DF,Manchester City,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,0.03,0.2,0.22,0.03,0.22,4.1,4.1,5.1,9.3,0.11,0.14,0.26,0.11,0.26
Sergi Canós,es ESP,DF,Brentford,24,1997,31,25,2083,23.1,3,2,3,0,0,8,1,0.13,0.09,0.22,0.13,0.22,2.9,2.9,1.9,4.8,0.12,0.08,0.21,0.12,0.21
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,8,5,441,4.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.02,0.03,0.05,0.02,0.05
Matty Cash,pl POL,DF,Aston Villa,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,2.5,2.5,1.9,4.4,0.07,0.05,0.12,0.07,0.12
Timothy Castagne,be BEL,DF,Leicester City,25,1995,27,22,2127,23.6,1,0,1,0,0,1,0,0.04,0,0.04,0.04,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.09,0.03,0.09
Jonny Castro,es ESP,DF,Wolves,27,1994,13,10,1024,11.4,2,0,2,0,0,1,0,0.18,0,0.18,0.18,0.18,0.8,0.8,1.2,2,0.07,0.1,0.17,0.07,0.17
Craig Cathcart,nir NIR,DF,Watford,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,0,0.04,0.04,0,0.04,0.1,0.1,0.3,0.5,0,0.01,0.02,0,0.02
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,3.4,3.4,1.4,4.7,0.39,0.16,0.55,0.39,0.55
Kayky Chagas,br BRA,FW,Manchester City,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,20,17,1449,16.1,3,1,3,0,0,2,0,0.19,0.06,0.25,0.19,0.25,1,1,0.2,1.2,0.06,0.01,0.08,0.06,0.08
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,11,9,831,9.2,1,0,1,0,0,1,0,0.11,0,0.11,0.11,0.11,0.2,0.2,0.1,0.4,0.02,0.01,0.04,0.02,0.04
Calum Chambers,eng ENG,DF,Arsenal,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07
Daniel Chesters,eng ENG,MF,West Ham,19,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,7,6,542,6,3,1,3,0,0,0,0,0.5,0.17,0.66,0.5,0.66,1.2,1.2,0.9,2.1,0.19,0.15,0.34,0.19,0.34
Chiquinho,pt POR,DFMF,Wolves,21,2000,8,1,208,2.3,0,3,0,0,0,0,0,0,1.3,1.3,0,1.3,0.3,0.3,0.6,0.9,0.13,0.27,0.41,0.13,0.41
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,6,4,285,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,19,17,1496,16.6,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.7,0.03,0.01,0.04,0.03,0.04
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,12,2,301,3.3,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.6,0.6,1,1.5,0.17,0.29,0.46,0.17,0.46
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,13,12,1014,11.3,0,1,0,0,0,2,1,0,0.09,0.09,0,0.09,0.8,0.8,0.3,1.1,0.07,0.03,0.1,0.07,0.1
Tom Cleverley,eng ENG,MF,Watford,31,1989,28,20,1616,18,0,2,0,0,0,2,0,0,0.11,0.11,0,0.11,0.8,0.8,2,2.9,0.05,0.11,0.16,0.05,0.16
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,16,15,1351,15,0,1,0,0,0,1,0,0,0.07,0.07,0,0.07,0.1,0.1,0.5,0.6,0.01,0.03,0.04,0.01,0.04
Conor Coady,eng ENG,DF,Wolves,28,1993,38,38,3361,37.3,4,0,4,0,0,4,0,0.11,0,0.11,0.11,0.11,2,2,0,2,0.05,0,0.05,0.05,0.05
Séamus Coleman,ie IRL,DF,Everton,32,1988,30,30,2656,29.5,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,1,1,1.1,2.1,0.03,0.04,0.07,0.03,0.07
Nathan Collins,ie IRL,DF,Burnley,20,2001,19,18,1670,18.6,2,0,2,0,0,2,1,0.11,0,0.11,0.11,0.11,1.6,1.6,0.9,2.5,0.08,0.05,0.14,0.08,0.14
Aaron Connolly,ie IRL,FW,Brighton,21,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.8,0.26,0.2,0.47,0.26,0.47
Liam Cooper,sct SCO,DF,Leeds United,29,1991,21,21,1814,20.2,0,1,0,0,0,5,0,0,0.05,0.05,0,0.05,0.3,0.3,0.1,0.4,0.02,0,0.02,0.02,0.02
Jack Cork,eng ENG,MF,Burnley,32,1989,20,20,1670,18.6,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,0.8,0.8,0.1,0.9,0.04,0.01,0.05,0.04,0.05
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,26,21,1766,19.6,9,1,9,0,1,2,0,0.46,0.05,0.51,0.46,0.51,6.7,5.9,1.5,7.4,0.34,0.07,0.42,0.3,0.38
Hélder Costa,ao ANG,MF,Leeds United,27,1994,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,28,25,2209,24.5,0,4,0,0,0,5,1,0,0.16,0.16,0,0.16,0.6,0.6,2.4,3,0.03,0.1,0.12,0.03,0.12
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,19,16,1329,14.8,5,3,5,0,0,0,0,0.34,0.2,0.54,0.34,0.54,3.7,3.7,3.2,6.9,0.25,0.22,0.47,0.25,0.47
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,31,31,2726,30.3,2,3,2,0,0,3,0,0.07,0.1,0.17,0.07,0.17,1.1,1.1,3.2,4.3,0.04,0.11,0.14,0.04,0.14
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,5,1,141,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Cucho,co COL,FWMF,Watford,22,1999,25,11,1147,12.7,5,2,5,0,0,3,0,0.39,0.16,0.55,0.39,0.55,2.5,2.5,1.9,4.4,0.2,0.15,0.35,0.2,0.35
Marc Cucurella,es ESP,DF,Brighton,23,1998,35,35,3089,34.3,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.6,3.3,0.02,0.08,0.1,0.02,0.1
Luke Cundle,eng ENG,MF,Wolves,19,2002,4,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.12,0.12,0,0.12
Patson Daka,zm ZAM,FW,Leicester City,22,1998,23,13,1159,12.9,5,3,5,0,0,2,0,0.39,0.23,0.62,0.39,0.62,4.7,4.7,1.8,6.5,0.36,0.14,0.51,0.36,0.51
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,34,34,2919,32.4,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,2,2,2.1,4,0.06,0.06,0.12,0.06,0.12
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,24,19,1801,20,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,1,1.7,0.03,0.05,0.08,0.03,0.08
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.2,0.02,0.04,0.05,0.02,0.05
Ben Davies,wls WAL,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,1.8,1.8,0.6,2.3,0.06,0.02,0.08,0.06,0.08
Tom Davies,eng ENG,MF,Everton,23,1998,6,2,234,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.9,0.9,0,0.9,0.35,0,0.35,0.35,0.35
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Dawson,eng ENG,DF,West Ham,31,1990,34,30,2754,30.6,2,2,2,0,0,5,1,0.07,0.07,0.13,0.07,0.13,2.8,2.8,0.5,3.3,0.09,0.01,0.11,0.09,0.11
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,15,0,0,2,0,0.61,0.33,0.94,0.61,0.94,6.4,6.4,9.4,15.8,0.26,0.39,0.65,0.26,0.65
Troy Deeney,eng ENG,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77
Liam Delap,eng ENG,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Delph,eng ENG,MF,Everton,31,1989,11,8,662,7.4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Leander Dendoncker,be BEL,MF,Wolves,26,1995,30,21,1950,21.7,2,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,2.6,2.6,1,3.6,0.12,0.05,0.16,0.12,0.16
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,33,30,2581,28.7,10,6,10,0,0,9,1,0.35,0.21,0.56,0.35,0.56,7.4,7.4,3.2,10.6,0.26,0.11,0.37,0.26,0.37
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,28,23,2105,23.4,1,2,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,1.3,1.3,3,4.3,0.06,0.13,0.18,0.06,0.18
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,23,10,1023,11.4,0,2,0,0,0,1,0,0,0.18,0.18,0,0.18,0.5,0.5,1,1.4,0.04,0.09,0.13,0.04,0.13
Rúben Dias,pt POR,DF,Manchester City,24,1997,29,27,2402,26.7,2,4,2,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.1,2.1,2.3,4.5,0.08,0.09,0.17,0.08,0.17
Luis Díaz,co COL,FW,Liverpool,24,1997,13,11,958,10.6,4,3,4,0,0,0,0,0.38,0.28,0.66,0.38,0.66,4.5,4.5,1.8,6.3,0.42,0.17,0.59,0.42,0.59
Eric Dier,eng ENG,DF,Tottenham,27,1994,35,35,3071,34.1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1.4,2.4,0.03,0.04,0.07,0.03,0.07
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,16,16,1269,14.1,0,4,0,0,0,2,0,0,0.28,0.28,0,0.28,0.6,0.6,2,2.6,0.04,0.14,0.18,0.04,0.18
Lucas Digne,fr FRA,DF,Everton,28,1993,13,13,1170,13,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16
Issa Diop,fr FRA,DF,West Ham,24,1997,13,10,963,10.7,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,12,5,457,5.1,0,0,0,0,0,3,0,0,0,0,0,0,1.5,1.5,0.2,1.7,0.3,0.05,0.34,0.3,0.34
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,3,0,32,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Doherty,ie IRL,DF,Tottenham,29,1992,15,9,875,9.7,2,4,2,0,0,0,0,0.21,0.41,0.62,0.21,0.62,2.5,2.5,1.8,4.3,0.26,0.18,0.44,0.26,0.44
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,35,35,3063,34,5,0,5,0,0,8,1,0.15,0,0.15,0.15,0.15,2.7,2.7,0.8,3.5,0.08,0.02,0.1,0.08,0.1
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,30,29,2537,28.2,2,4,2,0,0,6,0,0.07,0.14,0.21,0.07,0.21,2.7,2.7,2.2,4.9,0.1,0.08,0.17,0.1,0.17
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,19,11,912,10.1,1,1,1,0,0,0,0,0.1,0.1,0.2,0.1,0.2,1.2,1.2,2,3.1,0.12,0.19,0.31,0.12,0.31
Cody Drameh,eng ENG,DF,Leeds United,19,2001,3,1,128,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,26,2340,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,18,15,1436,16,1,0,1,0,0,7,0,0.06,0,0.06,0.06,0.06,1.3,1.3,0.1,1.5,0.08,0.01,0.09,0.08,0.09
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,3,2,198,2.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
